mouse_id,sex,order,grain_interaction_time,pr_interaction_time,nr_interaction_time
FEDXA01,M,2.0,104.8,217.8,270.03333333333336
FEDXA02,M,2.0,96.6,230.28333333333333,203.61666666666667
FEDXA03,M,2.0,85.63333333333334,220.4,319.03333333333336
FEDXA04,M,2.0,100.41666666666667,220.63333333333333,273.25
FEDXA05,M,2.0,117.76666666666667,225.9,296.6666666666667
FEDXA06,M,2.0,85.55,190.78333333333333,207.2
FEDXA07,M,1.0,112.61666666666666,209.78333333333333,197.85
FEDXA08,M,1.0,102.9,191.46666666666667,171.45
FEDXA09,M,1.0,108.51666666666667,229.06666666666666,199.41666666666666
FEDXA10,M,1.0,93.28333333333333,204.1,186.75
FEDXA11,M,1.0,125.96666666666667,192.48333333333332,176.06666666666666
FEDXA12,M,1.0,89.81666666666666,255.96666666666667,189.93333333333334
FEDXB01,F,2.0,123.13333333333334,261.21666666666664,233.96666666666667
FEDXB02,F,2.0,80.93333333333334,256.8333333333333,202.16666666666666
FEDXB03,F,2.0,66.3,185.3,172.23333333333332
FEDXB04,F,2.0,64.8,216.36666666666667,236.08333333333334
FEDXB05,F,2.0,92.56666666666666,210.93333333333334,220.31666666666666
FEDXB06,F,2.0,94.16666666666667,176.55,281.9
FEDXB07,F,1.0,95.86666666666666,293.5833333333333,206.75
FEDXB08,F,1.0,78.7,195.9,201.53333333333333
FEDXB10,F,1.0,78.75,200.65,170.28333333333333
FEDXB11,F,1.0,94.95,163.66666666666666,163.83333333333334
FEDXB12,F,1.0,107.71666666666667,262.81666666666666,241.81666666666666
