"EventSize","Mean","SD","Median","Min","Max","n"
1,108.636363636364,85.6974593873969,75,19,296,11
2,68.3636363636364,50.9024021579979,58,15,177,11
3,66.6363636363636,30.9492252803611,61,33,147,11
4,52.7272727272727,13.4914114094183,56,28,70,11
5,41.6363636363636,15.1345480756627,42,16,62,11
6,22.9090909090909,7.66099922274563,25,8,30,11
7,17.9090909090909,6.84769370597934,18,9,30,11
8,10.4545454545455,6.60853442699115,10,1,26,11
9,6.90909090909091,4.76349756910918,6,0,16,11
10,4.36363636363636,2.97565882697352,3,1,9,11
11,1.90909090909091,1.04446593573419,2,0,3,11
12,1.09090909090909,1.37510330190466,0,0,3,11
13,0.545454545454545,0.687551650952329,0,0,2,11
14,0.181818181818182,0.404519917477945,0,0,1,11
15,0.0909090909090909,0.301511344577764,0,0,1,11
16,0.0909090909090909,0.301511344577764,0,0,1,11
17,0,0,0,0,0,11
18,0,0,0,0,0,11
19,0,0,0,0,0,11
20,0,0,0,0,0,11
21,0,0,0,0,0,11
22,0,0,0,0,0,11
23,0.0909090909090909,0.301511344577764,0,0,1,11
24,0,0,0,0,0,11
25,0,0,0,0,0,11
